dataset_name,model_name,feature_type,accuracy,precision,recall,f1_score,roc_auc,pr_auc,train_size,val_size,test_size
17_ICLIP_HNRNPC_hg19,paper_baseline_oli_linear_svm,oli_tetranucleotide_composition,0.882,0.6549508692365835,0.8665,0.7460180800688765,0.942670125,0.7660594197755786,24000,6000,10000
10_PARCLIP_ELAVL1A_hg19,paper_baseline_oli_linear_svm,oli_tetranucleotide_composition,0.8028,0.5044025157232704,0.802,0.6193050193050194,0.8589363750000001,0.6143193582711793,24000,6000,10000
28_ICLIP_TIA1_hg19,paper_baseline_oli_linear_svm,oli_tetranucleotide_composition,0.8073,0.5112550107924761,0.829,0.6324623307266832,0.8881756875,0.629341664290163,24000,6000,10000
synthetic,paper_baseline_oli_linear_svm,oli_tetranucleotide_composition,0.652,0.639963167587477,0.695,0.6663470757430489,0.7209249999999999,0.6514610845374985,8000,2000,2000
17_ICLIP_HNRNPC_hg19,paper_baseline_deepbind,sequence_cnn_only,0.9363,0.8399002493765586,0.842,0.8409488139825219,0.97461625,0.9019437088910068,24000,6000,10000
10_PARCLIP_ELAVL1A_hg19,paper_baseline_deepbind,sequence_cnn_only,0.8934,0.7747058823529411,0.6585,0.7118918918918918,0.8948275624999998,0.7345652951700821,24000,6000,10000
28_ICLIP_TIA1_hg19,paper_baseline_deepbind,sequence_cnn_only,0.8797,0.7669122572002679,0.5725,0.6555969081019182,0.926939875,0.7531970593820998,24000,6000,10000
synthetic,paper_baseline_deepbind,sequence_cnn_only,0.7485,0.6666666666666666,0.994,0.7980730630268968,0.7680569999999999,0.6982929098391409,8000,2000,2000
17_ICLIP_HNRNPC_hg19,main_ideeps_like_sequence_structure_bilstm,sequence_plus_structure,0.9375,0.8223159868729489,0.877,0.8487781272683281,0.9765588125,0.9078457104856414,24000,6000,10000
10_PARCLIP_ELAVL1A_hg19,main_ideeps_like_sequence_structure_bilstm,sequence_plus_structure,0.894,0.7758215962441315,0.661,0.7138228941684666,0.8931320625,0.7346056900888597,24000,6000,10000
28_ICLIP_TIA1_hg19,main_ideeps_like_sequence_structure_bilstm,sequence_plus_structure,0.8815,0.7370564281559046,0.6335,0.6813659585910191,0.926883875,0.7493343206824555,24000,6000,10000
synthetic,main_ideeps_like_sequence_structure_bilstm,sequence_plus_structure,1.0,1.0,1.0,1.0,1.0,1.0,8000,2000,2000
17_ICLIP_HNRNPC_hg19,novel_cross_attention_ideeps,sequence_cross_structure,0.9315,0.7915742793791575,0.8925,0.8390129259694477,0.9756225,0.9023782251892352,24000,6000,10000
10_PARCLIP_ELAVL1A_hg19,novel_cross_attention_ideeps,sequence_cross_structure,0.8973,0.7713329615170106,0.6915,0.7292380701291853,0.8958425624999998,0.7439359423650161,24000,6000,10000
28_ICLIP_TIA1_hg19,novel_cross_attention_ideeps,sequence_cross_structure,0.8781,0.7514488087572441,0.5835,0.6569096538136786,0.92631596875,0.7582835747288417,24000,6000,10000
synthetic,novel_cross_attention_ideeps,sequence_cross_structure,1.0,1.0,1.0,1.0,1.0,1.0,8000,2000,2000
17_ICLIP_HNRNPC_hg19,novel_moe_swiglu_ideeps,moe_swiglu_structure_routed,0.937,0.8136446886446886,0.8885,0.8494263862332696,0.976412875,0.9046057852203084,24000,6000,10000
10_PARCLIP_ELAVL1A_hg19,novel_moe_swiglu_ideeps,moe_swiglu_structure_routed,0.8936,0.7577092511013216,0.688,0.7211740041928721,0.8933441875,0.7293074541626028,24000,6000,10000
28_ICLIP_TIA1_hg19,novel_moe_swiglu_ideeps,moe_swiglu_structure_routed,0.8867,0.7581893984514592,0.6365,0.6920358793150313,0.931644875,0.7713639889170525,24000,6000,10000
synthetic,novel_moe_swiglu_ideeps,moe_swiglu_structure_routed,1.0,1.0,1.0,1.0,1.0,1.0,8000,2000,2000
